hit,miss, instruction
1,10557,1050192
2,9740,2048175
3,9761,3048096
4,9766,4049649
5,9779,5053436
6,9734,6049696
7,9684,7043294
8,9823,8049640
9,9237,9050887
10,9721,10048870
11,9756,11049505
12,9736,12047443
13,9767,13049347
14,9743,14047403
15,9776,15050210
16,9749,16050538
17,9631,17064736
18,9874,18048414
19,10060,19048237
20,10090,20052105
21,9974,21046675
22,10027,22046626
23,10055,23046901
24,10024,24049687
25,9538,25050196
26,10028,26048923
27,10024,27048938
28,10039,28047819
29,10085,29050848
30,9955,30047497
31,10041,31048357
32,10041,32047326
33,10356,33076836
34,10628,34083432
35,10524,35076978
36,10656,36083043
37,10523,37076075
38,10547,38077276
39,10489,39071032
40,10719,40071938
41,11081,41077052
42,11025,42077418
43,11034,43078498
44,11014,44077436
45,11032,45077534
46,11015,46077554
47,10098,47049593
48,9637,48048440
49,9705,49053118
50,9585,50046122
51,9725,51052274
52,9547,52054787
53,9582,53049061
54,9720,54057755
55,9458,55050039
56,9595,56050382
57,9668,57050862
58,9681,58051742
59,9636,59049313
60,9667,60051003
61,9648,61050324
62,9744,62057369
63,9509,63050617
64,9715,64050083
65,9881,65053345
66,9749,66048275
67,9862,67051119
68,9823,68048167
69,9679,69049560
70,9842,70050459
71,9820,71048355
72,9643,72051462
73,9713,73047216
74,9853,74050387
75,9855,75050811
76,9825,76052245
77,9812,77048751
78,9863,78049307
79,9702,79048232
80,10964,80079275
81,11240,81083393
82,11119,82081415
83,11372,83095928
84,10925,84083905
85,11173,85083801
86,11197,86083523
87,10626,87083103
88,10827,88088171
89,10685,89077680
90,10725,90074531
91,10984,91087932
92,10791,92080022
93,10794,93083235
94,9455,94047205
95,9675,95050234
96,9612,96049423
97,9664,97050628
98,9637,98048300
99,9529,99051499
100,9596,100049584
101,9642,101049110
102,9525,102048020
103,9509,103050158
104,9635,104049169
105,9521,105049726
106,9674,106053570
107,9590,107046821
108,9714,108053206
109,9506,109046907
110,9416,110047101
111,9799,111047386
112,9826,112047336
113,9838,113048666
114,9810,114046460
115,9767,115048287
116,9772,116048714
117,9791,117046305
118,9738,118048307
119,9683,119045993
120,9780,120043345
121,9811,121045569
122,9793,122043153
123,9854,123045695
124,9854,124046309
125,9749,125047443
126,9532,126037992
127,11616,127077448
128,11236,128078738
129,11197,129075777
130,11249,130074528
131,11096,131075470
132,11246,132075018
133,11139,133080892
134,10299,134081169
135,10268,135074266
136,10750,136112516
137,10151,137085024
138,10577,138094823
139,10271,139086253
140,10121,140084186
141,9189,141052916
142,9617,142051655
143,9585,143050764
144,9650,144050709
145,9599,145045770
146,9383,146047536
147,9634,147048876
148,9538,148038103
149,9648,149054280
150,9517,150051818
151,9642,151051243
152,9544,152048843
153,9677,153051217
154,9621,154049528
155,9668,155054530
156,9471,156050282
157,9447,157049123
158,9831,158048719
159,9706,159036953
160,9961,160049393
161,9851,161049979
162,9689,162053188
163,9761,163050819
164,9810,164050228
165,9751,165054354
166,9722,166052482
167,9771,167049367
168,9785,168051705
169,9765,169047984
170,9848,170049821
171,9820,171050338
172,9565,172034938
173,10484,173084096
174,11064,174084969
175,11050,175084036
176,11109,176085439
177,11005,177085008
178,10953,178084591
179,11067,179084690
180,10927,180081858
181,11040,181083170
182,11266,182098143
183,10941,183087608
184,11086,184085332
185,11126,185088574
186,11023,186091742
187,9895,187053149
188,9641,188047841
189,9799,189057695
190,9659,190051810
191,9738,191053918
192,9578,192052513
193,9651,193052265
194,9715,194053327
195,9608,195054418
196,9621,196055561
197,9649,197052728
198,9703,198054178
199,9663,199053247
200,9711,200052648
201,9694,201051187
202,9661,202053082
203,9425,203052364
204,9880,204047591
205,10053,205050377
206,9997,206049600
207,10022,207049020
208,10015,208053390
209,9870,209050236
210,10042,210053158
211,9859,211047141
212,9963,212048992
213,10049,213052374
214,9979,214049615
215,10031,215051960
216,10023,216051955
217,10018,217051735
218,9953,218073066
219,10030,219085255
220,10647,220088353
221,10503,221086944
222,10542,222088059
223,10599,223089915
224,10370,224085850
225,10641,225091748
226,10658,226090389
227,10961,227087156
228,11110,228087686
229,10990,229083601
230,11135,230087170
231,11080,231087053
232,11026,232086921
233,10182,233052426
234,9558,234053497
235,9610,235052612
236,9604,236054539
237,9585,237052696
238,9645,238055889
239,9491,239056281
240,9534,240049421
241,9656,241054407
242,9365,242039670
243,9659,243050443
244,9658,244052884
245,9563,245052823
246,9673,246058632
247,9585,247054854
248,9516,248048208
249,9586,249054430
250,9357,250051798
251,9817,251053481
252,9781,252054305
253,9781,253051255
254,9897,254055808
255,9665,255055124
256,9807,256058170
257,9761,257052731
258,9710,258052848
259,9696,259051789
260,9779,260048637
261,9826,261053603
262,9823,262053821
263,9806,263052054
264,9805,264054660
265,9688,265051959
266,10510,266087057
267,11102,267086358
268,11122,268086591
269,11087,269086660
270,10842,270066148
271,11240,271086253
272,11132,272086273
273,10839,273088142
274,10669,274088252
275,10738,275090308
276,10720,276088359
277,10789,277089272
278,10720,278087809
279,10555,279081801
280,9681,280054559
281,9583,281052711
282,9620,282053885
283,9569,283052282
284,9671,284054380
285,9524,285052775
286,9546,286052126
287,9606,287053306
288,9536,288054444
289,9493,289050984
290,9607,290051813
291,9615,291052304
292,9640,292057804
293,9538,293048931
294,9656,294054730
295,9535,295051234
296,9546,296055189
297,9444,297051593
298,9777,298048364
299,9798,299047854
300,9806,300048914
301,9836,301048627
302,9630,302047392
303,9826,303050376
304,9816,304050797
305,9666,305049940
306,9748,306049919
307,9835,307050801
308,9397,308011810
309,10204,309051268
310,9826,310050085
311,9737,311047374
312,9766,312050405
313,10993,313086484
314,11141,314081123
315,11139,315078708
316,11306,316087007
317,10999,317081633
318,11156,318083269
319,11169,319081078
320,10370,320082847
321,10358,321081254
322,10442,322083222
323,10330,323081751
324,10436,324083204
325,10268,325081167
326,10226,326073073
327,9490,327050655
328,9628,328048946
329,9640,329047685
330,9753,330055820
331,9604,331050580
332,9667,332051947
333,9697,333055097
334,9648,334053934
335,9585,335050851
336,9650,336051650
337,9629,337049014
338,9669,338050601
339,9636,339049201
340,9645,340050102
341,9644,341048460
342,9682,342051902
343,9647,343051974
344,9843,344053171
345,9801,345053491
346,9765,346051222
347,9854,347053990
348,9839,348054981
349,9780,349050855
350,9830,350053496
351,9784,351051765
352,9807,352050432
353,9830,353051522
354,9835,354051742
355,9776,355048397
356,9889,356053589
357,9865,357057479
358,9714,358050728
359,9832,359030534
360,25508,360053960
361,24798,361040134
362,24987,362043728
363,25024,363042122
364,25031,364042765
365,24844,365045281
366,1124,366070717
367,0,367071350
368,0,368071117
369,0,369078451
370,0,370071595
371,0,371072177
372,0,372068019
373,0,373067754
374,0,374076477
375,0,375066641
376,0,376071572
377,0,377073189
378,0,378075734
379,0,379074978
380,0,380071401
381,0,381080031
382,0,382070233
383,0,383078931
384,0,384070641
385,0,385071307
386,0,386069125
387,0,387070109
388,0,388071015
389,0,389070571
390,0,390069806
391,0,391067882
392,0,392076910
393,0,393070638
394,0,394076931
395,0,395079821
396,0,396070017
397,0,397069311
398,0,398071451
399,0,399071801
400,0,400071446
401,0,401075668
402,0,402082106
403,17,403127868
404,0,404119280
405,2,405121110
406,184,406117323
407,10128,407094925
408,10439,408091210
409,10465,409091913
410,10956,410131045
411,10470,411120574
412,10623,412125248
413,10569,413124356
414,10596,414125690
415,10506,415122292
416,10572,416123868
417,10572,417123758
418,10302,418098379
419,10597,419099713
420,10601,420100387
421,10544,421096169
422,10627,422099293
423,10604,423100228
424,10560,424097480
425,10722,425111429
426,10405,426094780
427,10886,427123744
428,10414,428108758
429,10498,429100442
430,10680,430108825
431,10306,431082114
432,10751,432097804
433,10492,433088986
434,10691,434098211
435,10507,435089740
436,10687,436099022
437,10570,437097543
438,10733,438110226
439,10447,439097103
440,10514,440089832
441,10668,441098215
442,10606,442099952
443,10590,443099459
444,10558,444095228
445,10636,445100623
446,10585,446099751
447,10603,447101456
448,10541,448096855
449,10550,449095360
450,10660,450101749
451,10571,451100487
452,10611,452102418
453,10546,453097220
454,10760,454112589
455,10468,455100630
456,10595,456101272
457,10593,457101770
458,10377,458081260
459,10810,459101144
460,10533,460096809
461,10600,461097134
462,10596,462098468
463,10707,463109139
464,10208,464079010
465,10496,465077387
466,6828,466095202
467,4457,467097299
468,4445,468101446
469,4442,469099008
470,4427,470096939
471,4449,471101027
472,4475,472104938
473,4412,473100135
474,4438,474097224
475,4447,475100318
476,4526,476115948
477,4391,477103154
478,4433,478102136
479,4447,479101117
480,4444,480102463
481,4461,481104009
482,4438,482106053
483,4407,483097506
484,4467,484101698
485,4462,485108165
486,4403,486095892
487,4458,487101592
488,4409,488093365
489,4448,489099444
490,4427,490093685
491,4464,491098266
492,4437,492099587
493,4436,493096429
494,4447,494101370
495,4454,495100896
496,4463,496109005
497,4413,497100277
498,4422,498098352
499,4454,499103915
500,4436,500098639
501,4409,501096318
502,4470,502101247
503,4405,503093800
504,4497,504100717
505,4494,505109626
506,4390,506100093
507,4418,507093872
508,4451,508099475
509,4400,509087042
510,4492,510102183
511,4455,511102567
512,4428,512099573
513,4414,513095773
514,4463,514099510
515,4434,515098491
516,4448,516097475
517,4480,517108270
518,4400,518095890
519,4434,519095834
520,4447,520096264
521,4467,521100419
522,4393,522093724
523,4456,523096489
524,4416,524091213
525,4484,525099181
526,4467,526102419
527,4407,527097143
528,4441,528094705
529,4424,529094632
530,4473,530101181
531,4407,531097797
532,4446,532098693
533,4428,533097568
534,4452,534099943
535,4437,535097032
536,4469,536104971
537,4445,537101144
538,4393,538089246
539,4477,539096741
540,4440,540095722
541,4483,541105313
542,136,542209074
543,13,543217648
544,6,544230342
545,5617,545081178
546,13284,546082486
547,13269,547082713
548,13277,548084041
549,13277,549085004
550,13177,550080670
551,13332,551088079
552,13264,552089749
553,13149,553082179
554,13275,554084997
555,13280,555085589
556,13346,556093972
557,13127,557084547
558,13267,558085510
559,13233,559085837
560,13247,560086421
561,13253,561086546
562,13204,562084912
563,13263,563088100
564,13209,564085353
565,13190,565082209
566,13217,566084684
567,13128,567078967
568,13257,568086722
569,13131,569085244
570,12940,570087537
571,12434,571075770
572,11884,572086379
573,11069,573094057
574,11131,574086430
575,12731,575088257
576,13170,576082070
577,13334,577087614
578,13226,578085460
579,13279,579088511
580,13210,580085980
581,13161,581082062
582,13402,582094155
583,13143,583087327
584,13124,584078677
585,13307,585084059
586,13237,586084616
587,13264,587085127
588,13272,588086207
589,13282,589087014
590,13120,590077182
591,13404,591089096
592,13167,592082639
593,13265,593085828
594,13234,594084748
595,13183,595080892
596,13292,596086120
597,13234,597084939
598,13225,598085140
599,13246,599084820
600,13280,600085532
601,13262,601087226
602,13196,602083737
603,13290,603087297
604,13032,604087605
605,4500,605103347
606,4770,606098894
607,4087,607099294
608,4741,608096375
609,4122,609101798
610,4758,610101830
611,4124,611101840
612,4798,612105732
613,4085,613106898
614,4742,614109190
615,4118,615102974
616,4753,616104314
617,4125,617103295
618,4738,618105114
619,4142,619107105
620,4733,620104495
621,4405,621098663
622,4456,622105034
623,4652,623082627
624,4308,624102776
625,4726,625103101
626,4039,626090814
627,4848,627112972
628,4109,628107140
629,4788,629106355
630,4138,630109445
631,4673,631099826
632,4158,632113080
633,4701,633101191
634,4172,634113836
635,4701,635105746
636,4125,636104747
637,4795,637105620
638,4208,638097550
639,4721,639118211
640,4577,640085501
641,4270,641106305
642,4718,642094294
643,4198,643105242
644,4777,644105110
645,4061,645093125
646,4754,646101180
647,4138,647102770
648,4825,648115625
649,4060,649100648
650,4803,650118808
651,4097,651104507
652,4833,652109256
653,4133,653108237
654,4908,654102015
655,4097,655092597
656,4816,656103316
657,4600,657084213
658,4415,658120969
659,4696,659097977
660,4160,660105283
661,4793,661117237
662,4087,662099941
663,4851,663115000
664,4057,664100813
665,4727,665102113
666,4183,666114857
667,4663,667096634
668,4178,668109504
669,4786,669116087
670,4091,670104747
671,4772,671103125
672,4166,672106492
673,4804,673104924
674,4423,674088176
675,4374,675103013
676,4603,676102323
677,4015,677105068
678,4488,678102576
679,3813,679089903
680,2274,680239967
681,4,681247011
682,8,682225738
683,5,683219737
684,11544,684095175
685,13195,685091442
686,13257,686092291
687,13244,687091885
688,13266,688092848
689,13095,689080067
690,13443,690095145
691,13225,691093980
692,13233,692092560
693,13196,693089874
694,13297,694094174
695,13212,695091383
696,13216,696088680
697,13340,697097434
698,13161,698091719
699,12176,699012547
700,14297,700093756
701,13174,701089786
702,13256,702092607
703,13496,703115268
704,12903,704092710
705,13158,705089186
706,13083,706081616
707,13433,707103357
708,13021,708090726
709,13101,709088957
710,13088,710088807
711,13214,711094222
712,12712,712097412
713,9534,713086874
714,13313,714091176
715,13208,715087838
716,13198,716082445
717,13401,717092952
718,13250,718092762
719,13244,719091913
720,13249,720091018
721,13251,721090871
722,13266,722091216
723,13300,723094279
724,13326,724099156
725,13248,725099049
726,13075,726085894
727,13345,727091825
728,13290,728094643
729,13247,729093380
730,13267,730094780
731,13225,731091596
732,13186,732086725
733,13229,733084618
734,13400,734094856
735,13226,735092831
736,13254,736092701
737,13267,737092922
738,13268,738093887
739,13266,739094411
740,13214,740090989
741,13284,741092623
742,13348,742099593
743,9714,743090649
744,5252,744092477
745,5692,745091506
746,5120,746088538
747,6250,747090533
748,5267,748081363
749,5815,749090195
750,5395,750093532
751,5690,751082970
752,5771,752086298
753,5490,753094260
754,5898,754094106
755,5355,755110196
756,5797,756092622
757,5149,757093495
758,5630,758092393
759,5337,759096104
